site,year,month,day_frac_T4,day_frac_arh,logger,T4_mean,T4_absmax,T4_absmin,T4_meanmax,T4_meanmin,arh_sd,arh_cv,arh_med,arh_mean,arh_absmax,arh_absmin,T4_TDD,T4_GDD3,T4_GDD5,T4_FDD,T4_TDD_days,T4_GDD3_days,T4_GDD5_days,T4_FDD_days
19,2019,11,1,1,a,-3.33,5,-23,-1.38,-5.86,1.86,0.02,100,99.2,100,90.1,9.3,3.02,0,-109.29,7,1,0,23
19,2019,12,1,1,a,-3.08,1.6,-21.9,-1.33,-5.49,1.04,0.01,100,99.6,100,90.3,1.71,0,0,-97.19,4,0,0,27
19,2020,1,1,1,a,-3.67,3.1,-24.8,-1.32,-6.34,3.33,0.03,98.9,97.5,100,76.4,5.82,0,0,-119.59,8,0,0,23
19,2020,2,1,1,a,-5.28,3.4,-24.5,-2.13,-9.21,2.55,0.03,96.2,95.8,100,81,6.74,0,0,-159.78,8,0,0,21
19,2020,3,1,1,a,-3.43,10.1,-22.4,1.72,-9.71,10.52,0.13,85,83.8,99.7,40,16.23,0,0,-122.42,10,0,0,21
19,2020,4,1,1,a,-0.18,14,-21.4,5.81,-6.57,7.52,0.1,75.8,76.7,97.4,30.5,28.73,13.57,0,-34.16,19,4,0,11
19,2020,5,1,1,a,6.6,23.9,-5.9,13.8,-1.26,12.62,0.19,64.6,66.5,97.6,22.1,204.46,191.32,159.97,0,31,25,17,0
19,2020,6,1,1,a,17.06,33.6,0.4,25.29,7.77,9.5,0.15,61.2,63.4,96.3,26,511.78,511.78,511.78,0,30,30,30,0
19,2020,7,1,1,a,14.92,30.6,3.9,21.09,8.48,8.04,0.1,78,78.7,96.7,29.4,462.46,462.46,462.46,0,31,31,31,0
19,2020,8,1,1,a,13.68,31,-1.4,20.37,7.13,4.59,0.06,80.2,80.2,96.3,42.5,424.09,424.09,424.09,0,31,31,31,0
19,2020,9,1,1,a,9.02,19.6,-3.5,13.74,4.11,5.01,0.06,90,89.1,98.7,56,270.74,270.74,266.98,0,30,30,29,0
19,2020,10,1,1,a,4.83,13.8,-4.2,6.72,2.77,2.88,0.03,96,95.3,99.8,77.4,156.25,150.05,139.01,-6.43,26,19,16,5
19,2020,11,1,1,a,0.4,9.2,-12.5,2.27,-1.79,3.2,0.03,95.3,95.4,99.6,75.8,41.54,28.88,17.72,-29.42,17,6,3,13
19,2020,12,1,1,a,-3.28,2.5,-17.2,-1.5,-5.41,2.16,0.02,95.1,95.8,99.9,92,4.24,0,0,-106.06,4,0,0,27
19,2021,1,1,1,a,-9.98,0.9,-33.5,-7.17,-13.01,2.63,0.03,93.5,93.2,98.8,84.4,0.47,0,0,-309.78,3,0,0,28
19,2021,2,1,1,a,-13.74,2.3,-34.3,-10.15,-17.77,2.95,0.03,89.6,89.3,98.5,78.1,0.38,0,0,-385.03,1,0,0,27
19,2021,3,1,1,a,-5.32,9.8,-36.5,0.08,-11.15,5.49,0.07,83.1,83.3,98.6,50.9,19.45,11.15,0,-184.37,10,3,0,21
19,2021,4,1,1,a,1.86,16.4,-8.7,7.84,-3.26,9.57,0.13,76.1,76.3,96.3,28.9,58.58,29,0,-2.83,25,7,0,5
19,2021,5,0.3548387096774194,0.3548387096774194,a,3.12,12.6,-8,8.07,-2.12,13.09,0.19,66.9,69.9,96.6,36,34.64,29.86,14.8,-0.27,10,6,2,1
20,2019,9,0.5666666666666667,0.5666666666666667,a,4.43,14.9,-4.8,10.86,-0.79,7.13,0.08,85.3,85,98.5,40.8,75.53,66.78,54.77,-0.17,16,11,8,1
20,2019,10,1,1,a,1.35,10.2,-6.6,4.27,-1.27,4.61,0.05,94.2,93.4,99.7,49.4,59.27,40.82,28.93,-17.52,22,7,4,9
20,2019,11,1,1,a,-3.25,5.2,-22.1,-1.16,-5.87,2.92,0.03,97.3,96.7,100,77.4,9.36,0,0,-106.94,7,0,0,23
20,2019,12,1,1,a,-3.07,2.6,-21.9,-1.13,-5.75,2.07,0.02,98.6,97.9,100,85,2.59,0,0,-97.9,3,0,0,28
20,2020,1,1,1,a,-3.57,4.1,-25.7,-1.07,-6.28,4.43,0.05,97.1,95.4,100,69.7,7.7,0,0,-118.51,9,0,0,22
20,2020,2,1,1,a,-4.7,6.8,-25.9,0.14,-9.39,5.99,0.07,93.7,91.4,99.2,43.2,8.09,0,0,-144.25,8,0,0,21
20,2020,3,1,1,a,-2.39,16.3,-22.8,5.92,-10.32,11.32,0.15,76.9,76,97,24.9,27.02,12.98,0,-101.02,10,3,0,21
20,2020,4,1,1,a,1.18,17.9,-21.3,10.28,-7.16,7.96,0.11,67.8,69.5,96.3,22.2,55.83,33.45,6.35,-20.54,22,8,1,8
20,2020,5,1,1,a,7.63,26.4,-7.2,15.27,-1.35,11.89,0.19,59.3,62.2,96.4,22.7,236.58,234.57,203.28,0,31,30,22,0
20,2020,6,1,1,a,18.05,33.6,1.3,26.21,7.91,9.89,0.16,59.4,61.5,97.9,25.2,541.56,541.56,541.56,0,30,30,30,0
20,2020,7,1,1,a,15.91,32.8,4.3,23.34,8.35,9.61,0.13,74.6,76.4,99.9,26.6,493.26,493.26,493.26,0,31,31,31,0
20,2020,8,1,1,a,14.64,32.1,-1.6,22.83,7.1,5.28,0.07,78,78.9,100,39,453.77,453.77,453.77,0,31,31,31,0
20,2020,9,1,1,a,9.71,24,-3.2,15.98,4.13,7.09,0.08,89,88.4,100,37.2,291.21,291.21,287.04,0,30,30,29,0
20,2020,10,1,1,a,4.95,18,-4.8,7.61,2.6,3.24,0.03,97.2,96.4,100,58,159.7,149.75,141.47,-6.26,28,18,16,3
20,2020,11,1,1,a,0.53,9.1,-11.9,2.55,-1.65,3.92,0.04,97.9,96.4,100,69.5,45.3,31.06,18.7,-29.29,17,6,3,13
