site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
3,2021,3,1,1,1,0,-0.24,-0.07,-0.32,-0.22,-0.25,-0.5,-0.12,-1.5,-0.45,-0.57,-1.13,-0.17,-3.3,-0.98,-1.29,NA,NA,NA,NA,NA,NA,0,0,0,-7.3,0,0,0,31,0,0,0,-15.57,0,0,0,31,0,0,0,-35.15,0,0,0,31
3,2021,4,1,1,1,0,0.21,0.49,-0.07,0.23,0.2,-0.12,-0.06,-0.38,-0.12,-0.13,-0.26,2.39,-4.61,0.18,-0.59,NA,NA,NA,NA,NA,NA,6.48,0,0,-0.19,26,0,0,4,0,0,0,-3.64,0,0,0,30,0,0,0,-7.74,0,0,0,30
3,2021,5,1,1,1,0.6451612903225806,3.39,7.31,0.49,3.68,3.18,5.68,18.12,-0.62,8.18,3.31,6.88,25.95,-5.8,11.68,2.24,7.34,0.21,33.6,35.5,52.7,27.1,105.2,94.51,53.1,0,31,18,9,0,177.08,175.08,166.18,-0.88,25,21,19,6,216.85,212.12,196.13,-3.46,27,22,18,4
3,2021,6,1,1,1,1,9.06,13.43,4.62,9.6,8.63,14.42,26.25,3,18.7,9.65,16.46,31.95,0.64,22.86,9,1.3,0.05,23.8,24.2,35.9,22.3,271.87,271.87,271.87,0,30,30,30,0,432.64,432.64,432.64,0,30,30,30,0,493.84,493.84,493.84,0,30,30,30,0
3,2021,7,1,1,1,1,11.73,13.68,9.24,12.16,11.26,16.56,26,5.75,21.09,11.66,18.12,31.33,3.83,24.6,11.02,2.98,0.17,17.5,18,23,12.7,363.69,363.69,363.69,0,31,31,31,0,513.33,513.33,513.33,0,31,31,31,0,561.68,561.68,561.68,0,31,31,31,0
3,2021,8,1,1,1,1,10.82,12.18,8.81,11.16,10.5,12.02,19.31,4.5,15.06,9.17,12.27,22.77,1.7,17.26,7.75,3.1,0.14,21.2,21.5,37.1,13.6,335.38,335.38,335.38,0,31,31,31,0,372.66,372.66,372.66,0,31,31,31,0,380.34,380.34,380.34,0,31,31,31,0
3,2021,9,1,1,1,1,7.29,9.81,5.56,7.56,7.02,6.11,12.25,0.12,8.47,3.64,5.42,15.58,-3.05,9.61,1.46,1.96,0.09,22.8,22.7,35.4,19.6,218.55,218.55,218.55,0,30,30,30,0,183.36,180.59,159.63,0,30,29,24,0,162.7,156.27,110.19,0,30,27,16,0
3,2021,10,0.16129032258064516,0.16129032258064516,0.16129032258064516,0.16129032258064516,6.85,7.18,6.49,6.97,6.69,7.04,9.88,4.38,8.45,5.83,7.16,12.14,2.52,9.76,4.91,0.87,0.04,22.1,22.3,28.8,21.2,34.23,34.23,34.23,0,5,5,5,0,35.19,35.19,35.19,0,5,5,5,0,35.78,35.78,35.78,0,5,5,5,0
4,2019,9,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.5666666666666667,6.97,10.79,4.92,7.31,6.66,5.33,9.88,1.38,7.23,3.38,4.06,10.08,-2.48,7.55,0.6,1.53,0.09,16.8,17,22.5,13.9,118.53,118.53,118.53,0,17,17,17,0,90.62,90.62,67.66,0,17,17,10,0,68.97,59.48,51.73,0,17,10,8,0
4,2019,10,1,1,1,1,4.33,7.92,2.17,4.64,4.08,2.59,8.75,-1.38,3.78,1.52,1.12,9.02,-5.73,3.18,-0.88,1.27,0.06,19.3,19.8,35.2,14.9,134.09,126.45,35.88,0,31,28,6,0,82.22,44.44,20.07,-1.79,28,9,3,3,50.88,34.55,26.83,-16.2,20,6,4,11
4,2019,11,1,1,1,1,1.79,2.29,1.04,1.83,1.74,0.33,0.88,-1.88,0.48,0.12,-1.54,0.02,-9.86,-0.98,-2.38,1.7,0.09,18.5,18.9,38.6,16.2,53.81,0,0,0,30,0,0,0,12.6,0,0,-2.72,23,0,0,7,0,0,0,-46.31,0,0,0,30
